Point's Coordinates for twisted_polar_coordinates_61

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	
149,   	0.33482872801,      	-0.111012420314,    	-0.93571681904,     	5.963040730163,     	-1.210285694416,    	1.0,                	
150,   	0.348773711667,     	-0.052829278007,    	-0.93571681904,     	6.132856549276,     	-1.210285694416,    	1.0,                	
151,   	0.400376834816,     	0.00785625192,      	-0.916316904487,    	0.019619626252,     	-1.158784175504,    	1.0,                	
152,   	0.394734042783,     	0.067441574862,     	-0.916316904487,    	0.169219276423,     	-1.158784175504,    	1.0,                	
153,   	0.380273544512,     	0.125520364466,     	-0.916316904487,    	0.318818926594,     	-1.158784175504,    	1.0,                	
154,   	0.35731836364,      	0.180795236544,     	-0.916316904487,    	0.468418576765,     	-1.158784175504,    	1.0,                	
155,   	0.326381280975,     	0.232031441793,     	-0.916316904487,    	0.618018226936,     	-1.158784175504,    	1.0,                	
156,   	0.288153379822,     	0.278084448052,     	-0.916316904487,    	0.767617877107,     	-1.158784175504,    	1.0,                	
157,   	0.243488608323,     	0.317925507263,     	-0.916316904487,    	0.917217527278,     	-1.158784175504,    	1.0,                	
158,   	0.193384703667,     	0.350664635997,     	-0.916316904487,    	1.066817177449,     	-1.158784175504,    	1.0,                	
159,   	0.138960904289,     	0.375570496219,     	-0.916316904487,    	1.216416827619,     	-1.158784175504,    	1.0,                	
160,   	0.081432947936,     	0.392086732168,     	-0.916316904487,    	1.36601647779,      	-1.158784175504,    	1.0,                	
161,   	0.02208591409,      	0.399844398423,     	-0.916316904487,    	1.515616127961,     	-1.158784175504,    	1.0,                	
162,   	-0.037754482582,    	0.39867020154,      	-0.916316904487,    	1.665215778132,     	-1.158784175504,    	1.0,                	
163,   	-0.0967515065,      	0.388590371138,     	-0.916316904487,    	1.814815428303,     	-1.158784175504,    	1.0,                	
164,   	-0.153587261639,    	0.369830073971,     	-0.916316904487,    	1.964415078474,     	-1.158784175504,    	1.0,                	
165,   	-0.206992131149,    	0.342808384077,     	-0.916316904487,    	2.114014728645,     	-1.158784175504,    	1.0,                	
166,   	-0.255773138493,    	0.308128921357,     	-0.916316904487,    	2.263614378816,     	-1.158784175504,    	1.0,                	
167,   	-0.298840596576,    	0.266566367701,     	-0.916316904487,    	2.413214028987,     	-1.158784175504,    	1.0,                	
