This run aims to check if discrepancy is less than 0.0065
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	
75,    	0.572043649728,     	0.007677660754,     	0.011248752096,     	0.565399312071,     	12810, 	13115, 	306,   	
76,    	0.558760317756,     	0.00766335037,      	0.011326372291,     	0.552128219017,     	13116, 	13425, 	310,   	
77,    	0.54517333128,      	0.008036293147,     	0.011209410865,     	0.538218555877,     	13426, 	13740, 	315,   	
78,    	0.531514887357,     	0.007740868806,     	0.010794373598,     	0.524815468694,     	13741, 	14059, 	319,   	
79,    	0.518256380393,     	0.007583987076,     	0.010426237375,     	0.511692523292,     	14060, 	14383, 	324,   	
80,    	0.505616052488,     	0.007043092568,     	0.009493800375,     	0.499519962986,     	14384, 	14709, 	326,   	
81,    	0.492849079603,     	0.007708646432,     	0.010184308645,     	0.486177152108,     	14710, 	15036, 	327,   	
82,    	0.480114043912,     	0.007027229977,     	0.009692805616,     	0.474031473597,     	15037, 	15365, 	329,   	
83,    	0.467733952955,     	0.00727743896,      	0.010560744344,     	0.461434822203,     	15366, 	15695, 	330,   	
84,    	0.454639703588,     	0.00785060986,      	0.00934172342,      	0.447844606832,     	15696, 	16028, 	333,   	
85,    	0.441722068003,     	0.007079953795,     	0.009283499632,     	0.435374846706,     	16029, 	16364, 	336,   	
86,    	0.428742614586,     	0.007655818974,     	0.008740473366,     	0.422115797355,     	16365, 	16701, 	337,   	
87,    	0.415585907579,     	0.007552652045,     	0.009304956956,     	0.409048234581,     	16702, 	17041, 	340,   	
88,    	0.402365754146,     	0.007724129628,     	0.009425827266,     	0.395679602233,     	17042, 	17384, 	343,   	
89,    	0.389160800728,     	0.00752450152,      	0.00926145795,      	0.382647262813,     	17385, 	17730, 	346,   	
90,    	0.376523447235,     	0.007109585805,     	0.009216845334,     	0.370338869832,     	17731, 	18079, 	349,   	
91,    	0.364816988387,     	0.006393417133,     	0.009388659501,     	0.358894318445,     	18080, 	18427, 	348,   	
92,    	0.352299285819,     	0.007627264718,     	0.009374334331,     	0.345696522188,     	18428, 	18774, 	347,   	
93,    	0.339586714979,     	0.007053807669,     	0.009642198559,     	0.333311523095,     	18775, 	19121, 	347,   	
94,    	0.326944967534,     	0.007356792348,     	0.009392732632,     	0.320451935461,     	19122, 	19471, 	350,   	
95,    	0.314115542781,     	0.007324981815,     	0.009497190424,     	0.30764742348,      	19472, 	19822, 	351,   	
96,    	0.30122498387,      	0.007423722252,     	0.009122866699,     	0.294776688124,     	19823, 	20175, 	353,   	
97,    	0.287980306923,     	0.007848408321,     	0.008861637644,     	0.281185631733,     	20176, 	20530, 	355,   	
98,    	0.274284604614,     	0.007998614312,     	0.008894376424,     	0.267359814838,     	20531, 	20889, 	359,   	
99,    	0.260797286614,     	0.007607580135,     	0.008618091617,     	0.254210828025,     	20890, 	21252, 	363,   	
100,   	0.247785819507,     	0.007428335065,     	0.00857745566,      	0.241222254974,     	21253, 	21618, 	366,   	
101,   	0.234987438119,     	0.007222465223,     	0.009561067661,     	0.228734133616,     	21619, 	21983, 	365,   	
102,   	0.222416046184,     	0.007302842447,     	0.009277694332,     	0.215947159769,     	21984, 	22351, 	368,   	
103,   	0.209918487219,     	0.006985006283,     	0.009169595613,     	0.203717878463,     	22352, 	22722, 	371,   	
104,   	0.197145810594,     	0.007601945873,     	0.008706748805,     	0.190543692796,     	22723, 	23092, 	370,   	
105,   	0.184141628263,     	0.007391770334,     	0.008926417347,     	0.177741410287,     	23093, 	23463, 	371,   	
106,   	0.171143441842,     	0.007654115455,     	0.008846722691,     	0.164516016727,     	23464, 	23836, 	373,   	
107,   	0.157924188053,     	0.007635114019,     	0.009254528534,     	0.151313113743,     	23837, 	24209, 	373,   	
108,   	0.144698937076,     	0.007661330224,     	0.008695935835,     	0.138065067052,     	24210, 	24582, 	373,   	
109,   	0.132166423498,     	0.006877491535,     	0.007150995027,     	0.125983901462,     	24583, 	24956, 	374,   	
110,   	0.120496908242,     	0.006352057242,     	0.007418108056,     	0.1146508742,       	24957, 	25331, 	375,   	
111,   	0.108115411695,     	0.007547057028,     	0.008976654719,     	0.101580210295,     	25332, 	25703, 	372,   	
112,   	0.094952754739,     	0.007661838173,     	0.007696527066,     	0.088318074718,     	25704, 	26078, 	375,   	
113,   	0.081954448809,     	0.007362859764,     	0.008477975678,     	0.075578553138,     	26079, 	26453, 	375,   	
114,   	0.06946283487,      	0.007284807425,     	0.008489004819,     	0.063154440295,     	26454, 	26828, 	375,   	
115,   	0.056747356095,     	0.00741638571,      	0.009143322045,     	0.050324938905,     	26829, 	27202, 	374,   	
116,   	0.044381658447,     	0.00687140377,      	0.009425646693,     	0.038431086823,     	27203, 	27580, 	378,   	
117,   	0.032801027756,     	0.006541498102,     	0.00883566815,      	0.027136079722,     	27581, 	27961, 	381,   	
118,   	0.021667889171,     	0.00647253579,      	0.009141855063,     	0.016062602778,     	27962, 	28341, 	380,   	
119,   	0.010600832583,     	0.006335684538,     	0.007834372208,     	0.005114003881,     	28342, 	28721, 	380,   	
120,   	0.000963956496,     	0.004801306883,     	0.008185647552,     	-0.003194102023,    	28722, 	29179, 	458,   	
